#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
1,Facundo Campazzo,RMB,.782,.717,191.8,2.7,10.4,7.1,39.2,18.9,3.7,0.0,22.1,6.3,2.0,145.5,104.3,41.2,87.8,29.3
2,Fran Guerra,TEN,.694,.652,140.2,10.9,22.7,16.9,13.0,10.7,0.9,3.8,26.0,-1.4,1.8,135.0,111.0,24.0,59.8,27.8
3,Jerrick Harding,AND,.642,.598,170.7,2.9,9.2,6.3,14.0,9.7,1.9,1.8,32.8,-2.6,1.5,125.6,114.1,11.4,77.6,27.2
4,Jean Montero,VAL,.534,.507,147.6,9.6,10.1,9.8,39.5,8.9,3.0,0.0,29.7,7.5,1.2,127.7,107.5,20.2,66.6,26.8
5,Bojan Dubljevic,ZAR,.814,.778,199.4,8.3,18.4,13.5,13.4,16.0,0.7,0.7,21.4,-2.0,2.1,145.8,114.6,31.2,74.1,26.4
6,Dylan Ennis,MUR,.666,.661,159.7,3.6,6.8,5.0,22.5,9.3,3.6,1.6,25.7,2.1,1.5,128.4,105.4,23.0,86.1,26.1
7,Jilson Bango,ZAR,.723,.710,139.7,12.6,27.8,20.4,8.9,13.6,0.5,4.4,20.7,-2.7,1.8,135.1,110.0,25.1,49.0,25.1
8,Dzanan Musa,RMB,.674,.578,165.3,8.0,16.4,12.7,10.0,12.2,1.8,0.0,26.1,-3.1,1.8,132.6,107.4,25.2,37.9,24.5
9,Matt Costello,VAL,.543,.523,141.6,16.8,26.6,21.2,14.6,5.8,1.1,4.5,22.6,2.5,1.2,132.0,103.9,28.1,50.4,24.4
10,Semi Ojeleye,VAL,.629,.571,176.1,7.1,8.0,7.5,5.7,3.0,1.7,1.7,21.8,0.5,1.4,146.2,110.2,36.0,51.9,24.1
11,Ante Tomic,JOV,.653,.617,134.1,7.3,20.1,14.5,22.0,15.2,1.4,0.0,26.0,-1.1,1.6,121.9,107.3,14.6,70.6,23.3
12,Tryggvi Hlinason,BBB,.809,.793,155.8,15.3,17.5,16.4,18.4,23.2,0.8,7.1,16.6,-1.7,2.0,136.8,108.2,28.6,65.4,23.2
13,Trae Bell-Haynes,ZAR,.638,.589,179.3,4.2,6.9,5.6,34.9,17.0,2.0,0.8,27.0,3.3,1.4,125.3,115.3,10.0,54.9,23.2
14,"Derrick Alston, Jr.",MAN,.574,.453,154.3,6.3,14.3,10.5,12.2,10.7,3.1,1.1,28.4,-3.0,1.5,121.1,96.3,24.7,73.5,22.7
15,Chimezie Metu,FCB,.710,.716,177.8,4.5,14.8,10.1,2.7,12.0,2.4,2.5,23.7,-4.9,1.6,122.0,108.6,13.5,52.4,22.6
16,Kendrick Perry,UNI,.644,.586,178.5,0.8,7.8,4.2,27.7,14.1,4.3,0.0,22.4,4.7,1.5,125.4,103.7,21.7,64.3,21.8
17,Pierre Pelos,GCN,.642,.608,185.5,10.1,20.9,15.4,13.3,14.7,4.2,4.2,17.2,-0.3,1.4,124.9,100.1,24.7,59.3,21.7
18,Trent Forrest,BASK,.630,.585,180.4,3.8,17.8,10.8,19.2,15.8,3.5,0.0,23.1,-1.2,1.4,121.2,119.1,2.1,54.6,21.6
19,Willy Hernangomez,FCB,.626,.583,136.1,14.5,22.2,18.7,12.5,17.7,1.5,3.2,22.6,-3.7,1.5,117.0,108.4,8.6,31.9,21.1
20,Giorgi Shermadini,TEN,.691,.645,144.5,11.2,12.7,11.9,10.2,19.3,2.4,1.3,24.6,-6.4,1.7,120.0,111.3,8.7,31.6,21.1
21,Mario Hezonja,RMB,.700,.664,190.7,0.9,18.7,11.1,7.6,17.7,3.0,0.0,23.1,-5.8,1.6,119.9,99.2,20.7,60.5,20.4
22,Marcelinho Huertas,TEN,.602,.538,189.2,2.9,8.8,5.9,55.8,29.8,3.8,0.0,30.5,2.4,1.4,108.1,108.7,-0.6,42.9,20.4
23,Justin Anderson,FCB,.703,.670,184.6,5.4,14.3,10.3,3.5,8.8,1.5,1.6,19.5,-2.1,1.7,132.4,111.2,21.2,50.8,20.3
24,Jan Vesely,FCB,.820,.750,175.0,6.7,7.1,6.9,13.1,17.0,1.5,0.0,19.6,-1.4,2.0,143.1,118.4,24.7,22.3,20.2
25,Chima Moneke,BASK,.647,.578,170.3,6.6,12.9,9.7,16.3,12.6,1.1,0.6,21.0,0.9,1.7,131.8,123.6,8.2,69.0,20.1
26,Melwin Pantzar,BBB,.644,.545,157.5,3.6,12.5,8.2,22.4,11.3,2.4,0.0,18.6,4.1,1.8,132.0,110.1,21.9,67.6,19.8
27,Ferran Bassas,AND,.728,.714,179.0,0.0,4.2,2.4,37.7,23.0,1.3,0.0,22.9,3.7,1.6,127.6,120.5,7.1,29.9,19.6
28,Edy Tavares,RMB,.599,.592,119.2,15.9,18.7,17.5,7.4,14.4,1.6,6.8,18.0,-2.6,1.3,120.5,102.0,18.5,66.5,19.5
29,David Kramer,TEN,.639,.581,168.2,4.0,13.3,8.7,9.3,7.4,1.5,0.0,24.0,0.0,1.5,130.3,113.9,16.4,34.8,19.5
30,Trey Thompkins,LBC,.609,.597,161.8,1.5,25.2,12.9,11.4,5.0,0.7,1.4,22.4,1.6,1.3,120.2,125.4,-5.2,33.8,19.2
31,Ben Lammers,AND,.601,.583,128.3,7.8,23.6,16.4,5.7,14.7,2.1,9.6,16.1,-2.8,1.3,114.8,104.4,10.4,73.8,18.9
32,Simon Birgander,MUR,.732,.700,160.0,7.8,28.0,16.8,6.7,11.9,0.6,3.8,13.9,-1.2,1.6,136.6,106.8,29.9,64.8,18.8
33,Donta Hall,BASK,.757,.731,145.1,9.0,20.3,14.6,5.2,19.6,1.0,6.3,13.9,-3.7,2.2,132.7,117.5,15.3,58.1,18.7
34,Kassius Robertson,JOV,.633,.590,172.9,4.1,9.4,7.1,20.4,17.2,1.2,0.0,27.1,-2.9,1.4,114.5,113.6,0.9,57.6,18.5
35,Sergi Garcia,GRA,.638,.571,178.6,4.6,3.8,4.2,35.1,23.6,5.1,0.0,18.6,2.3,1.5,115.3,105.7,9.6,57.9,18.5
36,Harald Frey,BBB,.752,.691,191.0,0.0,9.4,4.9,26.1,17.2,1.3,0.0,19.7,2.4,1.9,134.2,113.3,20.9,39.6,18.4
37,Marco Spissu,ZAR,.812,.773,200.5,4.6,10.5,7.7,21.4,28.6,2.2,0.7,17.4,-1.4,2.0,128.5,113.9,14.6,53.3,18.3
38,Tim Abromaitis,TEN,.746,.750,170.0,3.9,29.6,16.8,2.9,3.4,2.4,0.0,12.5,0.3,1.9,150.6,108.1,42.5,40.0,18.2
39,Caleb Homesley,GCN,.545,.477,147.0,1.8,13.9,7.8,16.8,10.2,1.6,0.8,31.1,-0.8,1.3,110.0,110.1,-0.1,39.0,18.2
40,Emanuel Cate,MAN,.648,.581,149.7,21.3,19.1,20.2,4.7,21.6,1.3,0.9,16.5,-6.4,1.5,119.4,98.2,21.2,48.5,18.1
41,Amine Noua,GRA,.573,.500,161.8,5.6,21.9,12.9,7.8,17.2,3.8,3.1,26.9,-7.6,1.4,102.1,103.2,-1.1,55.8,18.0
42,Tyson Carter,UNI,.557,.517,172.4,0.9,7.9,4.3,37.5,16.2,2.2,0.8,24.3,7.0,1.2,113.6,107.8,5.8,51.6,18.0
43,James Nnaji,SJG,.695,.682,132.9,10.5,17.5,13.8,0.0,16.9,2.9,4.6,14.8,-5.3,1.9,122.0,106.9,15.2,37.4,17.9
44,Brandon Taylor,LBC,.588,.534,184.7,1.4,9.4,5.2,49.8,23.6,2.8,0.0,22.1,8.8,1.3,115.4,121.8,-6.4,71.9,17.8
45,Emir Sulejmanovic,ZAR,.585,.567,168.1,7.6,26.2,16.6,1.3,9.8,2.8,0.8,20.7,-3.9,1.3,115.9,114.0,1.9,46.5,17.6
46,Joan Sastre,TEN,.620,.575,165.0,3.7,14.3,9.1,14.4,4.4,3.5,0.0,14.1,4.8,1.4,137.9,109.8,28.1,26.0,17.6
47,Kamar Baldwin,BASK,.474,.448,141.4,2.0,11.4,6.4,29.5,11.2,2.7,4.0,28.6,4.6,1.0,103.5,112.5,-9.0,19.3,17.6
