#_avanzadas,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
116,A.J. DURHAM,SJG,0.536,0.453,159.3,1.3,7.8,4.5,22.4,16.2,0.8,0.5,24.7,-1.5,1.3,102.1,117.7,-15.6,32.9,11.3,22,8,201.0,94,30,75,0.4,8,27,0.296,26,29,0.897,2,12,14,21,3,1,17,26,,,,,,,,,,,,,,,,,,,,
100,A.J. SLAUGHTER,ZAR,0.521,0.518,179.5,3.7,2.9,3.3,13.0,11.4,1.5,0.0,24.5,-0.9,1.0,106.2,121.9,-15.6,36.4,12.6,31,8,176.2,89,35,85,0.412,18,47,0.383,1,1,1.0,5,4,9,14,5,0,11,9,,,,,,,,,,,,,,,,,,,,
60,AARON DOORNEKAMP,TEN,0.718,0.645,186.5,4.0,23.4,13.8,6.3,9.6,1.9,0.7,13.6,0.0,1.7,142.3,110.7,31.6,47.1,16.0,93,7,153.4,54,14,31,0.452,12,25,0.48,14,15,0.933,4,24,28,6,5,1,4,16,,,,,,,,,,,,,,,,,,,,
135,ADAM HANGA,JOV,0.524,0.5,150.9,4.1,15.0,10.2,11.7,14.9,0.8,2.0,15.8,0.2,1.1,105.6,110.2,-4.6,30.4,9.5,123,7,148.5,42,15,37,0.405,7,18,0.389,5,7,0.714,4,19,23,11,2,3,7,17,,,,,,,,,,,,,,,,,,,,
81,ALBERTO ABALDE,RMB,0.565,0.477,167.9,3.8,9.3,6.9,7.0,5.5,2.1,0.0,16.6,1.1,1.3,126.5,108.4,18.1,36.9,14.0,87,8,156.9,58,17,43,0.395,7,18,0.389,17,19,0.895,4,13,17,7,6,0,3,11,,,,,,,,,,,,,,,,,,,,
148,ALEIX FONT,LBC,0.458,0.435,137.0,6.5,4.8,5.7,11.7,12.5,0.5,0.0,22.5,-1.5,1.0,95.0,127.9,-32.9,10.4,6.2,117,7,113.4,45,17,46,0.37,6,21,0.286,5,7,0.714,6,4,10,8,1,0,7,17,,,,,,,,,,,,,,,,,,,,
145,ALEKSANDAR ARANITOVIC,BRE,0.41,0.371,131.0,4.7,19.4,11.5,8.6,13.4,2.5,0.7,20.4,-2.7,0.9,83.2,109.3,-26.1,29.6,7.9,96,8,170.2,53,18,58,0.31,7,21,0.333,10,15,0.667,7,25,32,8,8,1,10,14,,,,,,,,,,,,,,,,,,,,
29,AMINE NOUA,GRA,0.6,0.532,166.3,5.0,19.7,11.6,7.7,16.2,3.5,3.3,26.6,-6.8,1.5,106.3,103.6,2.7,66.9,19.3,10,8,194.9,112,36,77,0.468,10,26,0.385,30,37,0.811,8,26,34,7,13,6,18,18,,,,,,,,,,,,,,,,,,,,
99,ANDREW ALBICY,GCN,0.674,0.667,158.6,2.1,9.6,5.7,19.9,24.1,2.2,0.0,13.5,1.6,1.5,116.4,111.3,5.1,46.9,12.7,107,8,179.4,51,17,33,0.515,10,23,0.435,7,11,0.636,3,13,16,22,7,0,12,10,,,,,,,,,,,,,,,,,,,,
7,ANTE TOMIC,JOV,0.65,0.618,134.2,9.0,22.2,16.4,24.5,13.9,1.2,0.0,25.2,1.3,1.5,126.0,106.9,19.1,88.4,24.5,13,7,185.9,105,42,68,0.618,0,1,0.0,21,29,0.724,11,35,46,23,4,0,13,12,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.307,1.8,0.3,0.4,4.0,3.0,0.571,0.8,0.3,1.1
61,ARTEM PUSTOVYI,JOV,0.627,0.5,138.9,12.0,9.1,10.3,9.9,22.6,1.2,6.2,22.3,-6.6,1.7,111.9,111.1,0.9,36.1,15.9,81,8,139.3,60,18,36,0.5,0,1,0.0,24,27,0.889,11,11,22,8,3,9,14,24,,,,,,,,,,,,,,,,,,,,
90,AUGUSTO LIMA,LBC,0.545,0.5,126.9,11.9,24.2,17.8,18.0,22.7,1.7,1.5,17.9,-1.7,1.2,104.9,119.1,-14.2,52.1,13.5,99,8,157.1,52,21,42,0.5,0,0,0.0,10,13,0.769,15,28,43,17,5,2,14,19,,,,,,,,,,,,,,,,,,,,
