#_pos,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
27,A.J. Durham,SJG,.536,.453,159.3,1.3,7.8,4.5,22.4,16.2,0.8,0.5,24.7,-1.5,1.3,102.1,117.7,-15.6,32.9,11.3,Escolta (SG),22,8,201.0,94,30,75,.400,8,27,.296,26,29,.897,2,12,14,21,3,1,17,26,18,0,0,0,0,0,0,0,22,0,.255,1.2,0.2,0.4,2,6,.250,0.0,0.1,0.1
22,A.J. Slaughter,ZAR,.521,.518,179.5,3.7,2.9,3.3,13.0,11.4,1.5,0.0,24.5,-0.9,1.0,106.2,121.9,-15.6,36.4,12.6,Escolta (SG),31,8,176.2,89,35,85,.412,18,47,.383,1,1,1.000,5,4,9,14,5,0,11,9,56,0,0,0,0,0,0,0,15,0,.184,1.3,0.5,0.0,4,4,.500,0.1,-0.1,0.1
14,Aaron Doornekamp,TEN,.718,.645,186.5,4.0,23.4,13.8,6.3,9.6,1.9,0.7,13.6,0.0,1.7,142.3,110.7,31.6,47.1,16.0,Ala-Pívot (PF),93,7,153.4,54,14,31,.452,12,25,.480,14,15,.933,4,24,28,6,5,1,4,16,137,0,0,0,0,0,0,0,17,0,.100,1.5,1.3,0.5,6,1,.857,0.6,0.2,0.7
18,Adam Hanga,JOV,.524,.500,150.9,4.1,15.0,10.2,11.7,14.9,0.8,2.0,15.8,0.2,1.1,105.6,110.2,-4.6,30.4,9.5,Alero (SF),123,7,148.5,42,15,37,.405,7,18,.389,5,7,.714,4,19,23,11,2,3,7,17,111,0,0,0,0,0,0,0,12,0,.123,1.6,0.3,0.2,4,3,.571,0.1,0.2,0.3
10,Alberto Abalde,RMB,.565,.477,167.9,3.8,9.3,6.9,7.0,5.5,2.1,0.0,16.6,1.1,1.3,126.5,108.4,18.1,36.9,14.0,Alero (SF),87,8,156.9,58,17,43,.395,7,18,.389,17,19,.895,4,13,17,7,6,0,3,11,136,0,0,0,0,0,0,0,16,0,.101,2.3,2.0,0.4,6,2,.750,0.4,0.2,0.7
34,Aleix Font,LBC,.458,.435,137.0,6.5,4.8,5.7,11.7,12.5,0.5,0.0,22.5,-1.5,1.0,95.0,127.9,-32.9,10.4,6.2,Escolta (SG),117,7,113.4,45,17,46,.370,6,21,.286,5,7,.714,6,4,10,8,1,0,7,17,116,0,0,0,0,0,0,0,11,0,.118,1.1,0.1,0.2,2,5,.286,-0.1,-0.1,-0.2
22,Aleksandar Aranitovic,BRE,.410,.371,131.0,4.7,19.4,11.5,8.6,13.4,2.5,0.7,20.4,-2.7,0.9,83.2,109.3,-26.1,29.6,7.9,Alero (SF),96,8,170.2,53,18,58,.310,7,21,.333,10,15,.667,7,25,32,8,8,1,10,14,108,0,0,0,0,0,0,0,17,0,.125,0.8,0.8,0.3,2,6,.250,-0.4,0.2,-0.2
5,Amine Noua,GRA,.600,.532,166.3,5.0,19.7,11.6,7.7,16.2,3.5,3.3,26.6,-6.8,1.5,106.3,103.6,2.7,66.9,19.3,Ala-Pívot (PF),10,8,194.9,112,36,77,.468,10,26,.385,30,37,.811,8,26,34,7,13,6,18,18,36,0,0,0,0,0,0,0,19,0,.207,0.4,0.7,0.5,2,6,.250,0.2,0.4,0.6
26,Andrew Albicy,GCN,.674,.667,158.6,2.1,9.6,5.7,19.9,24.1,2.2,0.0,13.5,1.6,1.5,116.4,111.3,5.1,46.9,12.7,Base (PG),107,8,179.4,51,17,33,.515,10,23,.435,7,11,.636,3,13,16,22,7,0,12,10,67,0,0,0,0,0,0,0,11,0,.171,1.8,0.6,0.3,5,3,.625,0.3,0.2,0.5
4,Ante Tomic,JOV,.650,.618,134.2,9.0,22.2,16.4,24.5,13.9,1.2,0.0,25.2,1.3,1.5,126.0,106.9,19.1,88.4,24.5,Pívot (C),13,7,185.9,105,42,68,.618,0,1,.000,21,29,.724,11,35,46,23,4,0,13,12,7,1,0,0,0,0,0,0,22,0,.307,1.8,0.3,0.4,4,3,.571,0.8,0.3,1.1
