#_x,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_y,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Facundo Campazzo,RMB,.782,.717,191.8,2.7,10.4,7.1,39.2,18.9,3.7,0.0,22.1,6.3,2.0,145.5,104.3,41.2,87.8,29.3,Base (PG),10,7,162.0,94,28,46,.609,10,23,.435,28,32,.875,3,15,18,36,11,0,14,14
2,Jerrick Harding,AND,.642,.598,170.7,2.9,9.2,6.3,14.0,9.7,1.9,1.8,32.8,-2.6,1.5,125.6,114.1,11.4,77.6,27.2,Base (PG),1,7,188.0,156,57,107,.533,14,43,.326,28,33,.848,4,15,19,12,7,3,13,20
3,Jean Montero,VAL,.534,.507,147.6,9.6,10.1,9.8,39.5,8.9,3.0,0.0,29.7,7.5,1.2,127.7,107.5,20.2,66.6,26.8,Base (PG),15,5,124.5,87,31,74,.419,13,37,.351,12,17,.706,12,10,22,26,7,0,8,6
4,Kendrick Perry,UNI,.644,.586,178.5,0.8,7.8,4.2,27.7,14.1,4.3,0.0,22.4,4.7,1.5,125.4,103.7,21.7,64.3,21.8,Base (PG),16,7,162.3,86,29,58,.500,10,26,.385,18,20,.900,1,9,10,28,13,0,11,17
5,Marcelinho Huertas,TEN,.602,.538,189.2,2.9,8.8,5.9,55.8,29.8,3.8,0.0,30.5,2.4,1.4,108.1,108.7,-0.6,42.9,20.4,Base (PG),78,5,105.7,54,19,40,.475,5,12,.417,11,11,1.000,2,6,8,32,7,0,19,7
6,Melwin Pantzar,BBB,.644,.545,157.5,3.6,12.5,8.2,22.4,11.3,2.4,0.0,18.6,4.1,1.8,132.0,110.1,21.9,67.6,19.8,Base (PG),24,7,180.9,81,22,44,.500,4,13,.308,33,43,.767,5,19,24,23,8,0,8,13
7,Ferran Bassas,AND,.728,.714,179.0,0.0,4.2,2.4,37.7,23.0,1.3,0.0,22.9,3.7,1.6,127.6,120.5,7.1,29.9,19.6,Base (PG),101,5,78.8,44,15,28,.536,10,22,.455,4,5,.800,0,3,3,18,2,0,9,9
8,Kassius Robertson,JOV,.633,.590,172.9,4.1,9.4,7.1,20.4,17.2,1.2,0.0,27.1,-2.9,1.4,114.5,113.6,0.9,57.6,18.5,Base (PG),5,7,182.8,104,35,72,.486,15,36,.417,19,23,.826,5,15,20,18,4,0,17,10
9,Sergi Garcia,GRA,.638,.571,178.6,4.6,3.8,4.2,35.1,23.6,5.1,0.0,18.6,2.3,1.5,115.3,105.7,9.6,57.9,18.5,Base (PG),66,7,156.8,62,19,42,.452,10,25,.400,14,15,.933,6,4,10,28,15,0,15,8
10,Harald Frey,BBB,.752,.691,191.0,0.0,9.4,4.9,26.1,17.2,1.3,0.0,19.7,2.4,1.9,134.2,113.3,20.9,39.6,18.4,Base (PG),52,7,125.8,65,18,34,.529,11,21,.524,18,21,.857,0,10,10,18,3,0,9,23
11,Marco Spissu,ZAR,.812,.773,200.5,4.6,10.5,7.7,21.4,28.6,2.2,0.7,17.4,-1.4,2.0,128.5,113.9,14.6,53.3,18.3,Base (PG),54,6,145.5,65,20,33,.606,11,21,.524,14,16,.875,5,12,17,21,6,1,16,14
12,Tyson Carter,UNI,.557,.517,172.4,0.9,7.9,4.3,37.5,16.2,2.2,0.8,24.3,7.0,1.2,113.6,107.8,5.8,51.6,18.0,Base (PG),44,7,141.5,69,26,58,.448,8,29,.276,9,9,1.000,1,8,9,33,6,1,12,11
13,Brandon Taylor,LBC,.588,.534,184.7,1.4,9.4,5.2,49.8,23.6,2.8,0.0,22.1,8.8,1.3,115.4,121.8,-6.4,71.9,17.8,Base (PG),33,7,173.0,76,24,58,.414,14,28,.500,14,15,.933,2,12,14,53,9,0,20,16
14,Kamar Baldwin,BASK,.474,.448,141.4,2.0,11.4,6.4,29.5,11.2,2.7,4.0,28.6,4.6,1.0,103.5,112.5,-9.0,19.3,17.6,Base (PG),139,2,62.2,30,12,29,.414,2,6,.333,4,6,.667,1,5,6,10,3,2,4,5
15,Bruno Fitipaldo,TEN,.611,.521,170.9,1.8,7.1,4.5,33.8,15.9,0.7,0.0,20.6,7.8,1.5,128.8,117.2,11.6,52.9,16.8,Base (PG),42,6,170.4,71,19,48,.396,12,30,.400,21,23,.913,2,8,10,35,2,0,11,15
16,Devon Dotson,JOV,.541,.484,137.2,1.6,8.6,5.6,32.3,17.4,3.3,0.5,24.7,2.6,1.3,108.2,109.0,-0.8,55.9,16.7,Base (PG),23,7,185.9,82,29,63,.460,3,16,.188,21,29,.724,2,14,16,31,11,1,16,15
17,Sergio Llull,RMB,.566,.533,154.2,2.6,9.5,6.5,23.9,14.9,1.9,0.0,24.8,1.5,1.3,115.1,108.3,6.8,35.0,16.2,Base (PG),71,6,115.6,58,19,46,.413,11,29,.379,9,12,.750,2,10,12,16,4,0,9,9
18,Markus Howard,BASK,.551,.494,154.4,3.7,6.9,5.3,8.2,9.5,1.9,0.0,28.7,-2.8,1.3,114.1,123.7,-9.6,37.5,16.1,Base (PG),4,7,171.2,105,30,83,.361,22,61,.361,23,28,.821,5,9,14,8,6,0,10,21
19,Guillem Ferrando,SJG,.520,.450,158.8,2.4,7.9,5.0,45.9,17.8,2.7,0.0,26.4,3.3,1.2,104.0,112.6,-8.6,30.3,15.9,Base (PG),90,6,99.8,48,14,40,.350,8,21,.381,12,14,.857,2,6,8,20,5,0,10,8
20,Luka Bozic,FOR,.640,.523,158.2,4.8,13.8,9.3,17.6,23.0,1.7,0.0,23.2,-5.5,1.8,109.9,110.4,-0.6,44.4,15.7,Base (PG),29,7,149.3,77,21,43,.488,3,11,.273,32,39,.821,6,17,23,14,5,0,18,11
21,Ludde Hakanson,MUR,.540,.473,160.5,0.0,8.1,3.6,26.2,13.7,3.3,0.0,20.7,4.1,1.2,110.5,107.0,3.5,45.8,15.0,Base (PG),45,7,163.7,68,20,55,.364,12,34,.353,16,18,.889,0,9,9,25,10,0,10,12
22,Carlos Alocen,GCN,.481,.450,132.3,3.1,17.1,10.0,32.5,14.9,2.4,0.9,21.9,5.8,1.1,105.2,107.4,-2.2,37.1,14.6,Base (PG),102,7,118.9,44,16,40,.400,4,13,.308,8,13,.615,3,16,19,22,5,1,8,14
23,Tomas Satoransky,FCB,.573,.500,152.8,2.3,19.0,11.4,32.1,23.0,0.8,0.0,19.0,5.1,1.4,113.3,112.0,1.3,44.3,14.3,Base (PG),94,7,129.1,46,16,34,.471,2,10,.200,12,14,.857,2,20,22,28,2,0,12,12
24,Nicolas Laprovittola,FCB,.561,.540,149.1,3.9,10.4,7.6,39.8,22.4,0.7,0.0,21.0,7.3,1.2,113.2,113.7,-0.5,27.3,14.2,Base (PG),134,4,81.2,31,11,25,.440,5,13,.385,4,6,.667,2,7,9,21,1,0,8,8
